network,metric,baseline,n,target_mean,baseline_mean,delta_mean,ci95,wilcoxon_W,p_raw,p_holm,effect_r,wins,losses,ties
burst,objective,fixed_b3,320,0.15250604836607437,0.15189368404863196,0.0006123643174424244,0.0019165077147233168,23876.0,0.2760900237253108,0.2760900237253108,-0.060885046881504146,183,137,0
burst,objective,rabs_h,320,0.15250604836607437,0.16817763857607607,-0.01567159021000168,0.0013744716905287838,2446.0,1.0616354598906098e-44,3.184906379671829e-44,0.7841481037942722,285,35,0
burst,objective,rabs_l,320,0.15250604836607437,0.15686863360756592,-0.004362585241491511,0.0010856034140408308,14333.0,7.352835073862851e-12,1.4705670147725702e-11,0.3829615448805031,205,115,0
burst,objective,oracle_b,320,0.15250604836607437,0.10586370159221722,0.04664234677385716,0.0019304162146066544,0.0,3.258866789206682e-54,1.3035467156826728e-53,-0.8667006673597707,0,320,0
burst,loss_mean,fixed_b3,320,0.07582023755526357,0.028950662902485817,0.04686957465277776,0.0018730174684141382,0.0,3.258866789206682e-54,1.3035467156826728e-53,-0.8667006673597707,0,320,0
burst,loss_mean,rabs_h,320,0.07582023755526357,0.06676383414664663,0.00905640340861694,0.001009347318571569,3856.0,1.2062448424168488e-39,1.2062448424168488e-39,-0.7365605839316519,48,272,0
burst,loss_mean,rabs_l,320,0.07582023755526357,0.08663271018414247,-0.0108124726288789,0.0011110294534192233,2464.0,1.2373319420845675e-44,2.474663884169135e-44,0.7835406033264968,276,44,0
burst,loss_mean,oracle_b,320,0.07582023755526357,0.03311382671734235,0.04270641083792122,0.0018860393454284104,0.0,3.258866789206682e-54,9.776600367620046e-54,-0.8667006673597707,0,320,0
burst,missed_pct,fixed_b3,320,1.729955240834461,0.3135737589244781,1.416381481909983,0.07982461160414464,0.0,3.254336302542235e-54,1.301734521016894e-53,-0.8667056627753699,0,320,0
burst,missed_pct,rabs_h,320,1.729955240834461,1.3922146222315728,0.33774061860288823,0.03402389435316251,1385.5,3.5010243130305558e-46,7.0020486260611115e-46,-0.7975636600665478,28,278,14
burst,missed_pct,rabs_l,320,1.729955240834461,2.03089898454717,-0.30094374371270927,0.033386408258193424,2437.0,1.0521750038561017e-40,1.0521750038561017e-40,0.7467807947102415,253,46,21
burst,missed_pct,oracle_b,320,1.729955240834461,0.30420184636903247,1.4257533944654284,0.08192248603162429,0.0,3.2556786858576124e-54,9.767036057572837e-54,-0.8667041819119359,0,320,0
burst,avg_bandwidth,fixed_b3,320,1.4855699449449449,3.0,-1.5144300550550551,0.0033263868881838257,0.0,3.228880925719405e-54,1.291552370287762e-53,0.8667338598633898,320,0,0
burst,avg_bandwidth,rabs_h,320,1.4855699449449449,2.225,-0.739430055055055,0.02411930787394467,0.0,3.2570753421770946e-54,3.2570753421770946e-54,0.8667026418220164,320,0,0
burst,avg_bandwidth,rabs_l,320,1.4855699449449449,1.1028997747747746,0.3826701701701702,0.0036890206186951705,0.0,3.2480433192183025e-54,9.744129957654907e-54,-0.8667126130625029,0,320,0
burst,avg_bandwidth,oracle_b,320,1.4855699449449449,1.133617992992993,0.35195195195195195,0.005070879363978202,0.0,3.251009540403314e-54,6.502019080806629e-54,-0.8667093353494421,0,320,0
burst,avg_aoi,fixed_b3,320,1.1508675342008676,0.19620140974307643,0.9546661244577912,0.008628352080046368,0.0,3.2580963482603855e-54,9.774289044781156e-54,-0.8667015163768825,0,320,0
burst,avg_aoi,rabs_h,320,1.1508675342008676,0.827586961961962,0.32328057223890555,0.02443641725778471,1420.0,1.4139487956299352e-48,1.4139487956299352e-48,-0.8187760781241108,40,280,0
burst,avg_aoi,rabs_l,320,1.1508675342008676,1.741328828828829,-0.5904612946279613,0.009846124562272152,0.0,3.2580605181577224e-54,1.303224207263089e-53,0.8667015558661114,320,0,0
burst,avg_aoi,oracle_b,320,1.1508675342008676,1.8270103436770107,-0.6761428094761428,0.017538150997937058,0.0,3.258436753564108e-54,6.516873507128216e-54,0.866701141229479,320,0,0
severe_burst,objective,fixed_b3,320,0.16662684755067567,0.17244605999228396,-0.00581921244160829,0.001863514433733252,14959.0,9.627724685899222e-11,9.627724685899222e-11,0.36183402861230934,225,95,0
severe_burst,objective,rabs_h,320,0.16662684755067567,0.1853421279352269,-0.018715280384551204,0.00157441661189154,1828.0,5.146106359663198e-47,1.5438319078989594e-46,0.8050056198545659,292,28,0
severe_burst,objective,rabs_l,320,0.16662684755067567,0.17226144243201533,-0.0056345948813396746,0.0012035601750605728,12486.0,1.6425125596720355e-15,3.285025119344071e-15,0.4452978428794709,215,105,0
severe_burst,objective,oracle_b,320,0.16662684755067567,0.12917726711086086,0.03744958043981479,0.0019012086036070627,14.0,3.717048416716372e-54,1.4868193666865487e-53,-0.8662281669959454,3,317,0
severe_burst,loss_mean,fixed_b3,320,0.08309486244056555,0.04398433263993161,0.03911052980063395,0.001839973672829966,10.0,3.5799590109478245e-54,1.4319836043791298e-53,-0.8663631670998955,1,319,0
severe_burst,loss_mean,rabs_h,320,0.08309486244056555,0.07636984315044208,0.006725019290123471,0.0012851546557846561,9503.0,1.564919963273011e-22,1.564919963273011e-22,-0.5459741704002732,81,239,0
severe_burst,loss_mean,rabs_l,320,0.08309486244056555,0.0932716244890724,-0.010176762048506842,0.0011830102040555738,4528.0,2.4027772712880847e-37,4.805554542576169e-37,0.7138805496882349,263,57,0
severe_burst,loss_mean,oracle_b,320,0.08309486244056555,0.04715526072947949,0.03593960171108607,0.0018594816033607664,30.0,4.3197006174716136e-54,1.2959101852414841e-53,-0.8656881665801448,2,318,0
severe_burst,missed_pct,fixed_b3,320,1.8037177742669563,0.6515029639016818,1.1522148103652743,0.07211442793599637,0.0,4.74582937439516e-54,1.4237488123185482e-53,-0.865349885237474,0,319,1
severe_burst,missed_pct,rabs_h,320,1.8037177742669563,1.5016604199292949,0.3020573543376611,0.03815424652416912,3716.0,6.7613861390688245e-37,1.3522772278137649e-36,-0.7093647572079442,40,264,16
severe_burst,missed_pct,rabs_l,320,1.8037177742669563,2.0871516040531812,-0.2834338297862252,0.035742033811255576,3895.5,1.9847936121481452e-35,1.9847936121481452e-35,0.6944121715532622,254,46,20
severe_burst,missed_pct,oracle_b,320,1.8037177742669563,0.5986706349891998,1.2050471392777564,0.0715503210995086,0.0,4.7456193004914605e-54,1.8982477201965842e-53,-0.8653500444341455,0,319,1
severe_burst,avg_bandwidth,fixed_b3,320,1.5389232982982983,3.0,-1.4610767017017017,0.0023889938217034105,0.0,3.2240013398503164e-54,1.2896005359401266e-53,0.8667392902909082,320,0,0
severe_burst,avg_bandwidth,rabs_h,320,1.5389232982982983,2.266147397397398,-0.727224099099099,0.02423432432277426,0.0,3.2580605181577224e-54,3.2580605181577224e-54,0.8667015558661114,320,0,0
severe_burst,avg_bandwidth,rabs_l,320,1.5389232982982983,1.1726413913913913,0.3662819069069069,0.002976766844537805,0.0,3.247471823617082e-54,9.742415470851246e-54,-0.8667132449150788,0,320,0
severe_burst,avg_bandwidth,oracle_b,320,1.5389232982982983,1.1844094094094095,0.3545138888888889,0.004814728109484108,0.0,3.2517962142533523e-54,6.503592428506705e-54,-0.8667084665642629,0,320,0
severe_burst,avg_aoi,fixed_b3,320,1.4650035452118786,0.5641151568234901,0.9008883883883886,0.008028621924423517,0.0,3.2583292533739783e-54,1.3033317013495913e-53,-0.8667012596970275,0,320,0
severe_burst,avg_aoi,rabs_h,320,1.4650035452118786,1.2217592592592592,0.24324428595261932,0.025222663464610794,3903.5,2.809247994755168e-39,2.809247994755168e-39,-0.7329855261629883,51,268,1
severe_burst,avg_aoi,rabs_l,320,1.4650035452118786,2.138944152485819,-0.6739406072739407,0.013399705863344028,0.0,3.258472587735973e-54,9.775417763207919e-54,0.8667011017403071,320,0,0
severe_burst,avg_aoi,oracle_b,320,1.4650035452118786,2.3097086670003337,-0.8447051217884549,0.019584924937790994,0.0,3.2587055193002605e-54,6.517411038600521e-54,0.8667008450608203,320,0,0
